Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,8.140000,8.140000,8.080000,8.090000,7.856859,17610714
2020-01-03,8.150000,8.150000,7.870000,8.010000,7.779165,34330536
2020-01-06,8.000000,8.070000,7.800000,7.800000,7.575216,35922405
2020-01-07,7.880000,7.950000,7.750000,7.840000,7.614064,24023934
2020-01-08,7.750000,7.890000,7.680000,7.810000,7.584928,30622411
2020-01-09,7.920000,7.930000,7.770000,7.770000,7.546081,22195100
2020-01-10,7.900000,7.910000,7.790000,7.850000,7.623775,17755244
2020-01-13,7.920000,8.210000,7.870000,8.140000,7.905418,62664105
2020-01-14,8.200000,8.210000,8.110000,8.120000,7.885994,35929780
2020-01-15,8.090000,8.170000,8.030000,8.110000,7.876282,24866203
2020-01-16,8.160000,8.160000,8.070000,8.110000,7.876282,16100949
2020-01-17,8.150000,8.180000,8.120000,8.180000,7.944265,21531568
2020-01-20,8.350000,8.540000,8.320000,8.380000,8.138502,127612389
2020-01-30,7.820000,7.860000,7.550000,7.550000,7.332421,74719142
2020-01-31,7.500000,7.640000,7.300000,7.500000,7.283862,52242123
2020-02-03,7.120000,7.770000,7.020000,7.620000,7.400403,64699355
2020-02-04,8.000000,8.050000,7.640000,7.640000,7.419827,35208659
2020-02-05,7.650000,7.770000,7.580000,7.590000,7.371268,30344756
2020-02-06,7.700000,7.720000,7.620000,7.690000,7.468386,19909116
2020-02-07,7.650000,7.660000,7.510000,7.510000,7.293574,16939729
2020-02-10,7.490000,7.600000,7.480000,7.500000,7.283862,25821569
2020-02-11,7.580000,7.590000,7.450000,7.480000,7.264438,14151350
2020-02-12,7.500000,7.540000,7.450000,7.480000,7.264438,12004531
2020-02-13,7.500000,7.520000,7.280000,7.310000,7.099337,21559832
2020-02-14,7.290000,7.360000,7.200000,7.200000,6.992507,23264809
2020-02-17,7.140000,7.140000,7.010000,7.050000,6.846830,23765676
2020-02-18,7.110000,7.240000,7.110000,7.150000,6.943948,14503597
2020-02-19,7.200000,7.230000,7.150000,7.200000,6.992507,13383908
2020-02-20,7.240000,7.260000,7.150000,7.150000,6.943948,8888279
2020-02-21,7.140000,7.180000,7.090000,7.100000,6.895389,9671239
2020-02-24,7.090000,7.170000,7.010000,7.020000,6.817695,21670173
2020-02-25,6.900000,6.970000,6.850000,6.970000,6.769135,13884927
2020-02-26,6.910000,6.970000,6.870000,6.880000,6.681729,14341814
2020-02-27,6.900000,6.950000,6.590000,6.590000,6.400087,27240524
2020-03-02,6.480000,6.850000,6.350000,6.720000,6.526340,24811798
2020-03-03,6.920000,7.040000,6.820000,6.940000,6.740000,27673724
2020-03-04,6.930000,7.050000,6.830000,7.030000,6.827407,15670010
2020-03-05,7.090000,7.120000,7.040000,7.050000,6.846830,10778717
2020-03-06,6.990000,7.020000,6.920000,6.980000,6.778847,8974384
2020-03-09,6.920000,7.030000,6.740000,6.750000,6.555476,16712603
2020-03-10,6.530000,6.950000,6.530000,6.880000,6.681729,19504370
2020-03-11,6.860000,6.950000,6.670000,6.680000,6.487493,15796293
2020-03-12,6.530000,6.550000,6.040000,6.060000,5.885360,39126627
2020-03-13,5.510000,5.900000,5.460000,5.860000,5.691124,39284091
2020-03-16,5.930000,5.980000,5.470000,5.490000,5.331787,32610073
2020-03-17,5.130000,5.500000,5.130000,5.290000,5.137550,23732248
2020-03-18,5.390000,5.450000,5.170000,5.170000,5.021009,18451286
2020-03-19,5.070000,5.100000,4.660000,4.660000,4.525706,35861734
2020-03-20,4.850000,5.120000,4.850000,5.100000,4.953026,26745581
2020-03-23,4.890000,4.960000,4.740000,4.860000,4.719943,12806703
2020-03-24,5.000000,5.100000,4.930000,4.940000,4.797637,18568140
2020-03-25,5.180000,5.280000,5.130000,5.250000,5.098703,27201577
2020-03-26,5.370000,5.370000,5.140000,5.260000,5.108415,12212038
2020-03-27,5.400000,5.490000,5.280000,5.310000,5.156974,20921145
2020-03-30,5.200000,5.260000,5.110000,5.230000,5.079279,9423660
2020-03-31,5.350000,5.370000,5.170000,5.180000,5.030720,9151943
2020-04-01,5.230000,5.690000,5.210000,5.680000,5.516311,52950076
2020-04-06,5.880000,5.880000,5.640000,5.640000,5.477464,34411083
2020-04-07,5.720000,5.820000,5.640000,5.670000,5.506599,24073368
2020-04-08,5.720000,5.830000,5.700000,5.800000,5.632854,19931514
2020-04-09,5.870000,5.940000,5.770000,5.810000,5.642565,18638409
2020-04-10,5.890000,5.970000,5.820000,5.920000,5.749395,16818061
2020-04-13,5.940000,6.080000,5.920000,5.980000,5.807666,19583534
2020-04-14,6.020000,6.130000,6.020000,6.120000,5.943631,15896546
2020-04-15,6.160000,6.350000,6.130000,6.280000,6.099020,21903678
2020-04-16,6.220000,6.260000,6.120000,6.210000,6.031038,17651954
2020-04-17,6.330000,6.630000,6.190000,6.200000,6.021326,159309925
2020-04-20,6.190000,6.240000,6.060000,6.130000,5.953343,16699848
2020-04-21,6.150000,6.250000,6.020000,6.020000,5.846513,23151411
2020-04-22,5.940000,6.120000,5.850000,6.080000,5.904784,18970001
2020-04-23,6.130000,6.190000,6.060000,6.090000,5.914496,10011364
2020-04-24,6.100000,6.120000,6.050000,6.060000,5.885360,9365027
2020-04-27,6.140000,6.320000,6.100000,6.240000,6.060173,25773486
2020-04-28,6.280000,6.350000,6.200000,6.200000,6.021326,17722511
2020-04-29,6.210000,6.320000,6.210000,6.260000,6.079597,16736943
2020-04-30,6.310000,6.390000,6.290000,6.320000,6.137868,18753375
2020-05-04,6.190000,6.200000,6.110000,6.190000,6.011614,13364502
2020-05-05,6.220000,6.280000,6.190000,6.210000,6.031038,8444424
2020-05-06,6.250000,6.250000,6.160000,6.170000,5.992190,10985031
2020-05-07,6.190000,6.290000,6.180000,6.280000,6.099020,11146274
2020-05-08,6.340000,6.360000,6.280000,6.290000,6.108732,10848910
2020-05-11,6.250000,6.510000,6.240000,6.300000,6.118444,30368850
2020-05-12,6.300000,6.330000,6.220000,6.240000,6.060173,14015826
2020-05-13,6.220000,6.260000,6.110000,6.170000,5.992190,13589819
2020-05-14,6.150000,6.170000,6.010000,6.020000,5.846513,16139652
2020-05-15,6.110000,6.140000,5.940000,6.000000,5.827089,12990605
2020-05-18,6.010000,6.050000,5.920000,5.930000,5.759107,10015891
2020-05-19,6.030000,6.080000,5.960000,6.020000,5.846513,12364628
2020-05-20,6.070000,6.140000,6.000000,6.000000,5.827089,8049891
2020-05-21,6.030000,6.090000,6.010000,6.010000,5.836802,7363539
2020-05-22,6.000000,6.050000,5.940000,5.940000,5.768818,11061232
2020-05-25,5.950000,5.960000,5.810000,5.870000,5.700836,8969957
2020-05-26,5.910000,6.010000,5.900000,5.950000,5.778530,6630389
2020-05-27,5.980000,6.050000,5.950000,5.980000,5.807666,9069955
2020-05-28,6.050000,6.090000,5.940000,5.940000,5.768818,14060256
2020-05-29,5.950000,5.980000,5.890000,5.900000,5.729971,6759254
2020-06-01,5.970000,6.060000,5.960000,6.000000,5.827089,9350951
2020-06-02,6.050000,6.100000,6.030000,6.050000,5.875648,9363630
2020-06-03,6.120000,6.540000,6.120000,6.440000,6.254409,85319599
2020-06-04,6.530000,6.540000,6.270000,6.290000,6.108732,43391650
2020-06-05,6.320000,6.500000,6.290000,6.440000,6.254409,42523211
2020-06-08,6.560000,6.600000,6.450000,6.510000,6.322392,40952866
2020-06-09,6.580000,6.640000,6.460000,6.500000,6.312680,29446735
2020-06-10,6.600000,6.690000,6.580000,6.600000,6.409798,40377743
2020-06-11,6.600000,6.730000,6.380000,6.410000,6.225274,38741636
2020-06-12,6.230000,6.350000,6.190000,6.330000,6.147579,15750173
2020-06-15,6.340000,6.380000,6.250000,6.250000,6.069885,12816696
2020-06-16,6.350000,6.400000,6.330000,6.390000,6.205850,10572954
2020-06-17,6.390000,6.560000,6.380000,6.500000,6.312680,17807525
2020-06-18,6.570000,6.700000,6.570000,6.610000,6.419510,26388157
2020-06-19,6.640000,6.750000,6.550000,6.550000,6.361239,25377320
2020-06-22,6.600000,6.660000,6.490000,6.520000,6.332104,18248142
2020-06-23,6.600000,6.660000,6.560000,6.610000,6.419510,16865478
2020-06-24,6.710000,6.710000,6.580000,6.610000,6.419510,11910847
2020-06-29,6.510000,6.570000,6.410000,6.550000,6.361239,7591545
