Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,85.900002,88.000000,85.900002,87.199997,85.563255,331532
2020-01-03,87.900002,87.900002,86.300003,86.400002,84.778282,216050
2020-01-06,85.300003,86.400002,85.300003,85.699997,84.091415,151608
2020-01-07,86.000000,86.300003,85.000000,85.199997,83.600800,240104
2020-01-08,85.099998,85.099998,84.400002,84.400002,82.815811,158100
2020-01-09,85.099998,85.099998,84.400002,84.599998,83.012062,100742
2020-01-10,85.199997,85.599998,84.300003,85.000000,83.404556,149103
2020-01-13,85.500000,85.699997,85.000000,85.500000,83.895164,102700
2020-01-14,85.500000,85.500000,85.099998,85.199997,83.600800,72062
2020-01-15,85.300003,86.699997,85.300003,85.900002,84.287666,179110
2020-01-16,86.099998,86.199997,85.500000,85.699997,84.091415,119719
2020-01-17,85.699997,86.099998,85.500000,85.900002,84.287666,152226
2020-01-20,85.900002,86.000000,85.400002,85.500000,83.895164,98230
2020-01-30,86.000000,88.900002,82.099998,82.099998,80.558983,701664
2020-01-31,83.000000,85.000000,81.199997,82.699997,81.147720,294105
2020-02-03,82.000000,82.000000,78.000000,78.699997,77.222801,511167
2020-02-04,88.099998,88.099998,79.500000,79.500000,78.007790,253422
2020-02-05,79.500000,80.800003,78.900002,79.599998,78.105911,276201
2020-02-06,80.400002,80.500000,79.599998,80.000000,78.498405,223467
2020-02-07,80.000000,80.000000,78.699997,79.199997,77.713409,220016
2020-02-10,79.000000,79.000000,77.000000,77.900002,76.437820,234100
2020-02-11,78.000000,78.900002,78.000000,78.599998,77.124680,151088
2020-02-12,78.900002,81.000000,78.900002,80.099998,78.596527,387111
2020-02-13,80.500000,80.500000,79.500000,80.000000,78.498405,178063
2020-02-14,80.300003,80.300003,79.300003,79.900002,78.400276,122035
2020-02-17,79.599998,79.599998,78.400002,78.800003,77.320930,203132
2020-02-18,78.500000,79.000000,78.099998,78.199997,76.732185,180201
2020-02-19,79.000000,80.400002,78.800003,80.000000,78.498405,279058
2020-02-20,80.500000,80.800003,79.500000,79.900002,78.400276,152590
2020-02-21,79.900002,80.500000,79.599998,80.300003,78.792770,138663
2020-02-24,81.800003,86.500000,80.900002,85.000000,83.404556,1886287
2020-02-25,84.000000,84.000000,82.199997,83.000000,81.442093,497595
2020-02-26,82.000000,83.300003,81.599998,81.900002,80.362747,210500
2020-02-27,84.099998,86.300003,82.199997,82.199997,80.657112,1039501
2020-03-02,83.500000,83.599998,81.500000,82.000000,80.460861,362517
2020-03-03,83.599998,83.599998,81.300003,82.000000,80.460861,329739
2020-03-04,83.800003,84.800003,82.300003,82.500000,80.951477,475522
2020-03-05,82.900002,83.099998,82.099998,82.099998,80.558983,239417
2020-03-06,81.699997,82.500000,81.300003,81.500000,79.970253,165171
2020-03-09,82.800003,89.400002,82.400002,84.000000,82.423317,3939192
2020-03-10,82.800003,83.500000,78.500000,80.099998,78.596527,1501441
2020-03-11,82.699997,83.900002,81.199997,81.599998,80.068367,860539
2020-03-12,82.000000,82.199997,74.599998,76.800003,75.358467,941195
2020-03-13,69.400002,70.500000,69.199997,69.900002,68.587982,1206936
2020-03-16,69.900002,71.000000,65.500000,66.000000,64.761185,663719
2020-03-17,59.400002,62.700001,59.400002,59.400002,58.285065,1036045
2020-03-18,61.000000,61.000000,55.099998,55.299999,54.262020,901154
2020-03-19,51.299999,52.500000,49.799999,50.200001,49.257751,1278649
2020-03-20,55.200001,55.200001,55.200001,55.200001,54.163902,309300
2020-03-23,58.500000,58.500000,54.599998,56.099998,55.047001,1194036
2020-03-24,56.599998,59.000000,56.599998,58.000000,56.911343,593100
2020-03-25,58.799999,60.099998,57.599998,58.200001,57.107590,650141
2020-03-26,58.500000,59.500000,57.500000,59.200001,58.088818,498500
2020-03-27,60.000000,64.599998,59.700001,61.000000,59.855034,1489768
2020-03-30,60.099998,67.099998,58.700001,67.099998,65.840538,1525638
2020-03-31,72.800003,73.800003,70.400002,73.000000,71.629799,2868940
2020-04-01,72.900002,72.900002,68.599998,71.000000,69.667328,1983058
