Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,22.150000,22.200001,22.000000,22.000000,19.323204,163600
2020-01-03,22.250000,22.250000,21.750000,21.850000,19.191454,286874
2020-01-06,21.850000,21.950001,21.700001,21.799999,19.147535,167000
2020-01-07,21.750000,21.750000,21.500000,21.600000,18.971872,237564
2020-01-08,21.750000,22.000000,21.600000,21.799999,19.147535,330214
2020-01-09,21.950001,22.000000,21.850000,21.900000,19.235369,215252
2020-01-10,21.900000,22.000000,21.850000,21.950001,19.279287,155497
2020-01-13,21.950001,22.700001,21.950001,22.700001,19.938032,657618
2020-01-14,22.700001,23.650000,22.600000,23.150000,20.333279,1554043
2020-01-15,23.150000,23.350000,22.900000,23.000000,20.201530,526596
2020-01-16,23.049999,23.100000,22.900000,23.000000,20.201530,188172
2020-01-17,23.150000,23.200001,22.700001,22.700001,19.938032,398366
2020-01-20,22.900000,22.900000,22.450001,22.600000,19.850199,269772
2020-01-30,21.799999,21.799999,20.600000,20.900000,18.357042,612107
2020-01-31,20.799999,21.299999,20.799999,21.100000,18.532707,320594
2020-02-03,20.650000,20.700001,20.299999,20.600000,18.093544,312075
2020-02-04,21.000000,21.000000,20.799999,20.799999,18.269209,102540
2020-02-05,20.900000,21.049999,20.850000,20.900000,18.357042,240500
2020-02-06,21.100000,21.100000,20.850000,21.000000,18.444876,263648
2020-02-07,20.900000,20.900000,20.549999,20.600000,18.093544,273554
2020-02-10,20.500000,20.500000,20.100000,20.250000,17.786129,478261
2020-02-11,20.350000,20.450001,20.299999,20.450001,17.961796,143030
2020-02-12,20.500000,20.799999,20.500000,20.750000,18.225294,76030
2020-02-13,20.750000,21.000000,20.750000,20.900000,18.357042,160100
2020-02-14,20.900000,21.000000,20.900000,20.950001,18.400961,68251
2020-02-17,21.000000,21.000000,20.799999,20.950001,18.400961,107500
2020-02-18,20.850000,21.049999,20.850000,21.000000,18.444876,159600
2020-02-19,20.900000,21.100000,20.900000,21.000000,18.444876,143128
2020-02-20,21.000000,21.150000,21.000000,21.100000,18.532707,163419
2020-02-21,21.200001,21.200001,21.000000,21.100000,18.532707,101373
2020-02-24,20.900000,20.950001,20.799999,20.900000,18.357042,154000
2020-02-25,20.500000,20.799999,20.350000,20.750000,18.225294,177097
2020-02-26,20.650000,20.950001,20.600000,20.850000,18.313126,151560
2020-02-27,20.850000,20.850000,20.350000,20.500000,18.005713,279222
2020-03-02,20.150000,20.400000,20.100000,20.250000,17.786129,291456
2020-03-03,20.350000,20.400000,20.250000,20.299999,17.830046,204696
2020-03-04,20.200001,20.299999,20.150000,20.250000,17.786129,79600
2020-03-05,20.299999,20.450001,20.250000,20.250000,17.786129,124164
2020-03-06,20.299999,20.299999,20.049999,20.100000,17.654381,98199
2020-03-09,19.900000,19.900000,19.299999,19.400000,17.039551,397523
2020-03-10,18.950001,19.299999,18.850000,19.299999,16.951717,236835
2020-03-11,19.350000,19.350000,19.000000,19.049999,16.732136,204000
2020-03-12,19.000000,19.000000,18.200001,18.200001,15.985559,427224
2020-03-13,17.000000,17.450001,16.600000,17.400000,15.282895,604597
2020-03-16,17.250000,17.250000,16.799999,16.799999,14.755899,265687
2020-03-17,16.150000,16.600000,16.150000,16.350000,14.360654,175126
2020-03-18,16.500000,16.500000,16.049999,16.100000,14.141071,299225
2020-03-19,15.600000,15.600000,14.500000,14.500000,12.735747,728593
2020-03-20,15.950000,15.950000,15.950000,15.950000,14.009322,241655
2020-03-23,16.299999,17.500000,16.200001,17.450001,15.326814,1107936
2020-03-24,17.950001,18.250000,17.500000,17.850000,15.678144,851816
2020-03-25,18.049999,18.299999,17.950001,18.200001,15.985559,518302
2020-03-26,18.299999,18.350000,17.900000,18.200001,15.985559,345186
2020-03-27,18.299999,18.500000,18.299999,18.450001,16.205141,340400
2020-03-30,18.400000,18.700001,18.000000,18.700001,16.424725,247543
2020-03-31,18.799999,19.049999,18.799999,18.799999,16.512554,337471
2020-04-01,18.650000,19.100000,18.650000,19.100000,16.776054,277716
2020-04-06,19.100000,19.400000,19.049999,19.400000,17.039551,322485
2020-04-07,19.450001,20.000000,19.450001,19.900000,17.478716,574168
2020-04-08,19.950001,19.950001,19.850000,19.850000,17.434799,307361
2020-04-09,19.950001,20.000000,19.799999,19.799999,17.390881,341003
2020-04-10,19.750000,20.100000,19.750000,20.049999,17.610462,377883
2020-04-13,19.799999,20.150000,19.799999,20.100000,17.654381,184169
2020-04-14,20.150000,20.500000,20.150000,20.450001,17.961796,500430
2020-04-15,20.500000,20.750000,20.400000,20.600000,18.093544,473722
2020-04-16,20.700001,20.750000,20.450001,20.650000,18.137461,304377
2020-04-17,20.850000,20.850000,20.600000,20.700001,18.181377,304843
2020-04-20,20.700001,20.950001,20.700001,20.799999,18.269209,267713
2020-04-21,20.850000,20.850000,20.200001,20.250000,17.786129,264780
2020-04-22,20.000000,20.500000,19.850000,20.500000,18.005713,232168
2020-04-23,20.750000,20.850000,20.600000,20.700001,18.181377,395253
2020-04-24,20.799999,22.750000,20.799999,22.750000,19.981949,3177555
2020-04-27,22.750000,24.850000,22.750000,24.350000,21.387272,4791397
2020-04-28,24.200001,24.400000,23.049999,23.700001,20.816360,2067917
2020-04-29,23.500000,24.150000,23.400000,24.000000,21.079857,1167470
2020-04-30,24.100000,24.549999,23.750000,24.299999,21.343355,1339280
2020-05-04,23.600000,23.900000,23.200001,23.549999,20.684610,856403
2020-05-05,23.600000,23.799999,23.200001,23.500000,20.640694,515037
2020-05-06,23.750000,23.750000,22.600000,22.799999,20.025864,506804
2020-05-07,22.799999,23.450001,22.600000,23.150000,20.333279,321110
2020-05-08,23.200001,23.350000,22.799999,22.850000,20.069780,340003
2020-05-11,23.250000,23.400000,23.000000,23.299999,20.465029,373234
2020-05-12,23.200001,23.250000,22.900000,23.000000,20.201530,264737
2020-05-13,23.000000,23.000000,22.500000,22.600000,19.850199,441307
2020-05-14,22.549999,22.600000,22.049999,22.049999,19.367117,370380
2020-05-15,22.450001,22.450001,21.549999,21.600000,18.971872,556709
2020-05-18,21.600000,21.750000,21.350000,21.400000,18.796206,208923
2020-05-19,21.549999,21.950001,21.500000,21.850000,19.191454,211328
2020-05-20,21.900000,22.049999,21.850000,22.000000,19.323204,200614
2020-05-21,22.049999,22.200001,21.799999,22.200001,19.498869,258741
2020-05-22,22.200001,22.200001,21.799999,21.799999,19.147535,160109
2020-05-25,21.799999,21.799999,21.549999,21.650000,19.015787,177391
2020-05-26,21.650000,21.850000,21.650000,21.700001,19.059706,1236000
2020-05-27,21.750000,22.500000,21.750000,22.500000,19.762367,526407
2020-05-28,22.850000,23.250000,22.350000,22.600000,19.850199,708924
2020-05-29,22.549999,22.750000,22.500000,22.750000,19.981949,118000
2020-06-01,22.750000,23.000000,22.600000,22.650000,19.894115,232007
2020-06-02,22.850000,22.850000,22.549999,22.700001,19.938032,147649
2020-06-03,22.700001,22.850000,22.650000,22.799999,20.025864,160172
2020-06-04,22.750000,22.850000,22.650000,22.750000,19.981949,153180
2020-06-05,22.799999,22.950001,22.799999,22.850000,20.069780,313216
2020-06-08,22.900000,23.200001,22.850000,23.049999,20.245447,480806
2020-06-09,23.100000,23.299999,23.049999,23.150000,20.333279,283884
2020-06-10,23.150000,24.150000,23.049999,24.049999,21.123774,1091380
2020-06-11,24.750000,25.500000,23.600000,23.600000,20.728527,4017609
2020-06-12,23.100000,23.350000,22.799999,23.100000,20.289362,474596
2020-06-15,23.000000,23.250000,22.900000,23.049999,20.245447,191964
2020-06-16,23.200001,23.799999,23.200001,23.600000,20.728527,320276
2020-06-17,23.750000,23.750000,23.299999,23.400000,20.552860,264640
2020-06-18,23.600000,23.600000,23.250000,23.250000,20.421112,356178
2020-06-19,23.250000,23.500000,23.000000,23.000000,20.201530,426974
2020-06-22,23.000000,23.500000,23.000000,23.299999,20.465029,247528
2020-06-23,23.600000,23.850000,23.350000,23.400000,20.552860,471858
2020-06-24,23.500000,23.850000,23.500000,23.750000,20.860275,290694
2020-06-29,23.600000,23.900000,23.500000,23.650000,20.772442,280999
2020-06-30,23.850000,23.900000,23.650000,23.850000,20.948109,285085
2020-07-01,23.950001,24.299999,23.900000,24.049999,21.123774,334055
2020-07-02,24.200001,24.600000,24.200001,24.350000,21.387272,542362
2020-07-03,24.500000,24.600000,24.200001,24.400000,21.431187,329611
2020-07-06,24.450001,24.900000,24.299999,24.650000,21.650770,630386
2020-07-07,24.750000,24.750000,24.299999,24.549999,21.562937,395977
2020-07-08,24.500000,24.750000,24.400000,24.549999,21.562937,424229
2020-07-09,24.850000,24.900000,24.549999,24.799999,21.782518,634228
2020-07-10,24.900000,24.900000,24.350000,24.450001,21.475105,537805
2020-07-13,24.600000,24.600000,24.100000,24.250000,21.299440,714884
