Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,9.200000,9.220000,9.160000,9.180000,8.901041,485555
2020-01-03,9.220000,9.220000,9.110000,9.140000,8.862256,139768
2020-01-06,9.120000,9.120000,9.070000,9.100000,8.823472,68991
2020-01-07,9.100000,9.140000,9.090000,9.140000,8.862256,29421
2020-01-08,9.090000,9.140000,9.080000,9.110000,8.833167,58203
2020-01-09,9.120000,9.130000,9.090000,9.110000,8.833167,87947
2020-01-10,9.120000,9.120000,9.070000,9.080000,8.804080,81957
2020-01-13,9.080000,9.090000,9.060000,9.070000,8.794383,55002
2020-01-14,9.080000,9.130000,9.080000,9.100000,8.823472,226636
2020-01-15,9.150000,9.150000,9.100000,9.100000,8.823472,25002
2020-01-16,9.100000,9.190000,9.100000,9.150000,8.871952,98602
2020-01-17,9.150000,9.160000,9.130000,9.140000,8.862256,36102
2020-01-20,9.180000,9.180000,9.160000,9.160000,8.881648,117803
2020-01-30,9.120000,9.120000,8.990000,9.030000,8.755598,291775
2020-01-31,9.000000,9.100000,9.000000,9.020000,8.745904,156812
2020-02-03,9.020000,9.020000,8.900000,8.980000,8.707117,227039
2020-02-04,9.020000,9.020000,8.980000,8.980000,8.707117,216425
2020-02-05,8.980000,8.990000,8.950000,8.990000,8.716814,18938
2020-02-06,8.990000,9.050000,8.940000,8.950000,8.678030,98568
2020-02-07,8.960000,8.980000,8.920000,8.980000,8.707117,58555
2020-02-10,8.920000,8.950000,8.900000,8.950000,8.678030,161137
2020-02-11,8.960000,8.960000,8.910000,8.950000,8.678030,28429
2020-02-12,8.950000,8.960000,8.930000,8.960000,8.687726,86700
2020-02-13,8.960000,9.040000,8.960000,8.990000,8.716814,99450
2020-02-14,9.020000,9.020000,8.940000,8.980000,8.707117,33021
2020-02-17,8.980000,8.980000,8.910000,8.920000,8.648941,103259
2020-02-18,8.900000,8.970000,8.890000,8.960000,8.687726,84366
2020-02-19,8.920000,8.930000,8.920000,8.920000,8.648941,26601
2020-02-20,8.920000,8.950000,8.890000,8.950000,8.678030,101719
2020-02-21,8.950000,8.950000,8.860000,8.920000,8.648941,166506
2020-02-24,8.870000,8.920000,8.850000,8.910000,8.639246,84311
