Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,10.150000,10.200000,10.100000,10.150000,10.024173,34118400
2020-01-03,10.200000,10.250000,9.890000,10.050000,9.925413,64859648
2020-01-06,10.100000,10.200000,9.890000,9.960000,9.836529,67039572
2020-01-07,10.050000,10.200000,9.980000,10.050000,9.925413,66052483
2020-01-08,9.960000,10.350000,9.850000,10.350000,10.221695,145186556
2020-01-09,10.350000,10.400000,10.100000,10.150000,10.024173,103550909
2020-01-10,10.150000,10.200000,10.050000,10.050000,9.925413,51302820
2020-01-13,10.150000,10.500000,10.100000,10.350000,10.221695,93641879
2020-01-14,10.450000,10.600000,10.350000,10.450000,10.320455,87082196
2020-01-15,10.450000,10.500000,10.200000,10.300000,10.172315,56670165
2020-01-16,10.400000,10.400000,10.250000,10.300000,10.172315,32778613
2020-01-17,10.350000,10.500000,10.300000,10.450000,10.320455,43212832
2020-01-20,10.500000,10.600000,10.450000,10.550000,10.419215,44709321
2020-01-30,10.150000,10.150000,9.510000,9.750000,9.629132,119319965
2020-01-31,9.800000,10.250000,9.800000,10.100000,9.974793,102306463
2020-02-03,9.990000,11.050000,9.820000,11.000000,10.863636,210505961
2020-02-04,9.800000,11.300000,9.760000,11.300000,11.159918,182107029
2020-02-05,11.300000,11.650000,10.900000,11.100000,10.962397,198499403
2020-02-06,11.200000,11.350000,11.000000,11.200000,11.061157,88874698
2020-02-07,10.900000,11.250000,10.750000,11.050000,10.913016,135768758
2020-02-10,11.150000,11.500000,11.100000,11.500000,11.357438,169633376
2020-02-11,11.500000,11.550000,11.250000,11.300000,11.159918,103243896
2020-02-12,11.300000,11.350000,11.100000,11.100000,10.962397,88115411
2020-02-13,11.100000,11.200000,10.800000,10.900000,10.764875,84998512
2020-02-14,10.850000,11.000000,10.800000,10.950000,10.814256,48894426
2020-02-17,10.900000,10.900000,10.400000,10.500000,10.369835,76603383
2020-02-18,10.600000,10.850000,10.500000,10.500000,10.369835,83111821
2020-02-19,10.700000,10.850000,10.600000,10.800000,10.666116,84016458
2020-02-20,10.900000,10.900000,10.650000,10.750000,10.616735,46129795
2020-02-21,10.700000,10.750000,10.400000,10.500000,10.369835,67280347
2020-02-24,10.550000,10.800000,10.550000,10.750000,10.616735,64511187
2020-02-25,10.600000,10.700000,10.500000,10.500000,10.369835,47266491
2020-02-26,10.250000,10.350000,9.910000,9.990000,9.866157,130317193
2020-02-27,9.950000,9.980000,9.400000,9.500000,9.382232,139095293
2020-03-02,9.190000,9.570000,9.120000,9.330000,9.214338,73401480
2020-03-03,9.610000,9.630000,9.260000,9.270000,9.155083,78965501
2020-03-04,9.310000,9.640000,9.270000,9.580000,9.461240,77016521
