Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,16.371881,16.371881,16.235826,16.326530,15.487808,1477194
2020-01-03,16.326530,16.417233,16.054420,16.326530,15.487808,1613462
2020-01-06,16.326530,16.417233,16.190475,16.417233,15.573852,2179129
2020-01-07,16.507936,16.689342,16.235826,16.507936,15.659896,3019018
2020-01-08,16.326530,16.371881,16.009069,16.190475,15.358743,2960743
2020-01-09,16.190475,16.326530,16.145124,16.190475,15.358743,828000
2020-01-10,16.326530,16.417233,16.235826,16.326530,15.487808,2291646
2020-01-13,16.780045,17.233561,16.734694,17.233561,16.348244,9804717
2020-01-14,17.278912,17.959183,17.278912,17.641724,16.735439,6871463
2020-01-15,17.687075,18.049887,17.505669,18.049887,17.122633,4503080
2020-01-16,17.959183,18.367346,17.732426,17.823130,16.907526,4850606
2020-01-17,17.868481,18.276644,17.777777,18.231293,17.294720,3644653
2020-01-20,18.503401,19.455782,18.503401,19.183674,18.198175,6839032
2020-01-30,18.004536,19.138321,17.868481,18.956917,17.983067,7385524
2020-01-31,19.591837,19.591837,18.775511,18.956917,17.983067,4865205
2020-02-03,18.367346,18.730158,17.913832,18.231293,17.294720,4181115
2020-02-04,15.555555,20.045351,15.555555,20.045351,19.015587,8406547
2020-02-05,20.045351,20.952379,18.775511,19.047619,18.069109,16187842
2020-02-06,19.047619,19.591837,18.775511,19.138321,18.155153,6708530
2020-02-07,19.138321,19.138321,18.231293,18.412699,17.466806,4845662
2020-02-10,18.321995,18.775511,18.095238,18.458050,17.509829,2719990
2020-02-11,18.730158,18.730158,18.503401,18.594105,17.638893,1779560
2020-02-12,18.639456,18.820862,18.458050,18.820862,17.854002,2113892
2020-02-13,18.820862,18.956917,18.321995,18.321995,17.380762,3647573
2020-02-14,18.412699,18.639456,18.321995,18.594105,17.638893,1562330
2020-02-17,18.548752,18.594105,18.367346,18.458050,17.509829,1432409
2020-02-18,18.367346,18.503401,18.049887,18.140589,17.208675,3032383
2020-02-19,18.231293,18.458050,18.049887,18.367346,17.423784,1797627
2020-02-20,18.503401,18.548752,18.367346,18.503401,17.552849,1064054
2020-02-21,18.548752,18.548752,18.412699,18.548752,17.595871,1103239
