Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,26.850000,27.250000,26.850000,27.100000,27.100000,1106785
2020-01-03,27.200001,27.350000,26.850000,26.950001,26.950001,1037755
2020-01-06,26.799999,27.150000,26.750000,26.799999,26.799999,785876
2020-01-07,26.900000,26.950001,26.549999,26.950001,26.950001,720656
2020-01-08,26.650000,26.799999,26.500000,26.500000,26.500000,770736
2020-01-09,26.549999,27.000000,26.549999,26.799999,26.799999,631252
2020-01-10,26.799999,26.799999,26.000000,26.250000,26.250000,2966120
2020-01-13,27.150000,27.250000,26.500000,26.500000,26.500000,2895616
2020-01-14,26.700001,26.700001,26.350000,26.350000,26.350000,962735
2020-01-15,26.450001,26.500000,26.299999,26.400000,26.400000,543628
2020-01-16,26.500000,26.500000,26.299999,26.400000,26.400000,407693
2020-01-17,26.600000,26.600000,26.350000,26.350000,26.350000,489243
2020-01-20,26.200001,26.299999,26.200001,26.250000,26.250000,1261946
2020-01-30,25.200001,25.500000,24.500000,24.500000,24.500000,2573219
2020-01-31,24.549999,24.850000,24.200001,24.600000,24.600000,1449420
2020-02-03,24.000000,24.100000,22.799999,23.350000,23.350000,1485026
2020-02-04,26.400000,26.400000,23.549999,23.549999,23.549999,1091671
2020-02-05,23.650000,23.700001,23.250000,23.299999,23.299999,863977
2020-02-06,23.500000,23.700001,23.350000,23.600000,23.600000,905459
2020-02-07,23.500000,23.500000,23.250000,23.250000,23.250000,783169
2020-02-10,23.049999,23.049999,22.500000,22.799999,22.799999,1002983
2020-02-11,23.150000,24.850000,23.049999,24.650000,24.650000,3036643
2020-02-12,24.600000,24.799999,24.299999,24.500000,24.500000,1617566
2020-02-13,24.500000,25.049999,24.400000,24.500000,24.500000,1748268
2020-02-14,24.500000,24.500000,24.250000,24.350000,24.350000,599959
2020-02-17,24.350000,24.500000,24.200001,24.250000,24.250000,475666
2020-02-18,24.200001,24.400000,24.000000,24.049999,24.049999,493244
2020-02-19,24.150000,24.200001,24.000000,24.049999,24.049999,648402
2020-02-20,24.100000,24.200001,24.000000,24.049999,24.049999,295192
2020-02-21,24.100000,24.400000,24.049999,24.150000,24.150000,661142
2020-02-24,24.049999,24.100000,23.750000,23.799999,23.799999,576284
2020-02-25,23.500000,23.900000,23.350000,23.650000,23.650000,1038626
2020-02-26,23.200001,23.600000,23.200001,23.299999,23.299999,946731
2020-02-27,23.350000,23.549999,22.950001,23.100000,23.100000,875475
2020-03-02,22.600000,23.450001,22.549999,22.799999,22.799999,1089677
2020-03-03,23.200001,23.299999,22.850000,22.900000,22.900000,657817
2020-03-04,22.900000,22.900000,22.700001,22.900000,22.900000,716001
2020-03-05,23.250000,23.250000,22.950001,23.100000,23.100000,337741
2020-03-06,23.000000,23.000000,22.750000,22.900000,22.900000,374004
